time_ms,Lead_I,Lead_II,Lead_III
6098,-0.0003,-0.0048,-0.0045
6100,-0.0071,-0.0201,-0.013
6102,0.0201,0.0226,0.0024
6104,-0.0229,-0.0066,0.0163
6106,0.0053,0.0175,0.0123
6108,0.0135,-0.0218,-0.0353
6110,-0.0163,-0.0017,0.0146
6112,-0.0099,0.0317,0.0416
6114,0.0002,-0.0043,-0.0045
6116,0.0045,0.021,0.0165
6118,0.0206,-0.0289,-0.0495
6120,0.0139,0.0126,-0.0013
6122,0.0143,-0.0135,-0.0278
6124,0.0013,0.0006,-0.0008
6126,0.0117,0.0013,-0.0104
6128,0.0002,-0.0056,-0.0058
6130,0.0037,0.0204,0.0167
6132,-0.0016,0.0059,0.0075
6134,0.0004,-0.0246,-0.025
6136,0.0059,0.0138,0.0079
6138,-0.0036,0.0412,0.0447
6140,0.0132,-0.0039,-0.0171
6142,-0.0008,0.0107,0.0114
6144,-0.0126,0.011,0.0236
6146,-0.0181,0.005,0.0231
6148,-0.0058,-0.0075,-0.0017
6150,0.0078,0.0128,0.005
6152,-0.0028,-0.0212,-0.0184
6154,0.0287,0.0216,-0.0071
6156,0.0026,-0.0121,-0.0146
6158,0.0054,-0.0141,-0.0194
6160,-0.002,-0.0112,-0.0092
6162,0.0029,-0.0217,-0.0246
6164,0.0073,-0.0104,-0.0177
6166,0.0143,-0.0113,-0.0256
6168,-0.0165,0.0096,0.0261
6170,-0.0277,-0.0062,0.0214
6172,-0.0041,-0.0186,-0.0145
6174,-0.0161,0.0011,0.0172
6176,-0.011,-0.004,0.0069
6178,0.0065,-0.0274,-0.0339
6180,0.0092,0.0196,0.0103
6182,0.006,-0.0091,-0.0151
6184,-0.0074,-0.0193,-0.0119
6186,0.0315,-0.0156,-0.0471
6188,-0.0014,-0.0086,-0.0072
6190,0.0138,-0.0043,-0.018
6192,-0.0007,-0.0005,0.0002
6194,0.0128,0.018,0.0052
6196,-0.0019,0.0037,0.0056
6198,0.0112,-0.0029,-0.0141
6200,-0.0044,0.0144,0.0188
6202,-0.0286,0,0.0287
6204,0.012,0.0162,0.0043
6206,-0.0086,-0.0004,0.0083
6208,0.0089,-0.0095,-0.0184
6210,-0.0066,-0.0102,-0.0036
6212,0.019,-0.0041,-0.0231
6214,0.0025,0.0123,0.0098
6216,0.0159,-0.0082,-0.0242
6218,0.0072,0.0139,0.0067
6220,-0.0033,0.0143,0.0176
6222,0.0029,0.0179,0.015
6224,-0.0091,0.0037,0.0128
6226,-0.0098,0.0274,0.0371
6228,0.002,-0.0075,-0.0095
6230,0.0022,-0.0137,-0.0159
6232,0.0153,0.0157,0.0005
6234,-0.0105,0.0029,0.0134
6236,0.0072,-0.0096,-0.0168
6238,0.0104,-0.0058,-0.0162
6240,-0.0021,-0.0055,-0.0034
6242,0.022,-0.005,-0.027
6244,-0.0176,-0.0052,0.0125
6246,-0.0088,0.0148,0.0236
6248,-0.0062,-0.0029,0.0033
6250,0.0218,0.0136,-0.0082
6252,0.0007,-0.0068,-0.0075
6254,0.0111,0.0055,-0.0056
6256,0.0222,-0.0115,-0.0337
6258,0.0236,-0.0035,-0.0271
6260,-0.0125,0.0138,0.0263
6262,-0.0059,-0.0176,-0.0117
6264,-0.002,0.0031,0.0051
6266,-0.0162,0.0087,0.0249
6268,-0.0135,0.02,0.0335
6270,0.0039,0.0133,0.0094
6272,0.0029,0.0136,0.0106
6274,-0.0124,0.0081,0.0206
6276,0.0154,-0.0188,-0.0342
6278,0.0128,0.0153,0.0026
6280,-0.0127,0.0136,0.0263
6282,-0.0053,0.0002,0.0055
6284,-0.0007,-0.0237,-0.023
6286,-0.0097,0.0114,0.0211
6288,-0.0005,0.005,0.0054
6290,-0.0152,-0.005,0.0103
6292,0.0148,0.0238,0.009
6294,0.0395,0.0015,-0.038
6296,0.017,0.0222,0.0052
6298,0.0048,-0.0108,-0.0156
6300,0.0004,-0.0013,-0.0016
6302,0.0093,-0.0114,-0.0206
6304,0.0232,0.0184,-0.0049
6306,0.0001,-0.0116,-0.0117
6308,-0.0021,0.009,0.0111
6310,-0.0052,-0.005,0.0002
6312,0.0167,-0.0172,-0.0339
6314,-0.0074,-0.0062,0.0012
6316,0.0092,0.0014,-0.0078
6318,-0.0133,0.019,0.0322
6320,0.0269,-0.0075,-0.0344
6322,0.003,0.0098,0.0068
6324,-0.0108,-0.0071,0.0037
6326,0.011,0.0248,0.0138
6328,0.0111,0.0235,0.0124
6330,-0.0127,-0.0084,0.0044
6332,0.0126,0.0066,-0.006
6334,-0.0001,-0.0006,-0.0005
6336,0.0215,0.0248,0.0033
6338,0.0204,0.0122,-0.0082
6340,0.0262,0.0062,-0.02
6342,-0.0069,0.0133,0.0202
6344,-0.0058,0.0204,0.0262
6346,0.0035,0.0071,0.0035
6348,-0.001,0.0075,0.0085
6350,0.0018,0.0196,0.0178
6352,0.0146,0.0091,-0.0055
6354,0.0031,-0.0037,-0.0068
6356,-0.001,0.0165,0.0175
6358,0.0117,0.017,0.0053
6360,0.0083,0.0233,0.015
6362,0.0302,-0.0017,-0.0319
6364,0.0197,-0.0113,-0.031
6366,-0.0005,0.0392,0.0397
6368,0.0047,0.0189,0.0142
6370,-0.0025,0.0073,0.0098
6372,0.0167,0.0166,0
6374,-0.0056,0.0165,0.0221
6376,0.0041,0.0081,0.004
6378,0.0182,0.0275,0.0093
6380,0.0097,0.0033,-0.0064
6382,-0.0182,0.0153,0.0336
6384,0.0145,-0.0036,-0.0181
6386,0.0076,0.0076,0
6388,0.0191,-0.0027,-0.0218
6390,0.0161,0.0065,-0.0096
6392,0.0089,0.0045,-0.0043
6394,0.008,-0.0012,-0.0091
6396,-0.0181,0.0312,0.0493
6398,0.0307,0.0252,-0.0055
6400,0.0058,0.0215,0.0157
6402,0.0167,0.0063,-0.0104
6404,0.0042,0.0232,0.019
6406,0.0222,0.0224,0.0002
6408,0.0143,0.0204,0.0062
6410,0.0164,0.0149,-0.0015
6412,0.0298,0.0058,-0.024
6414,0.0156,0.0506,0.035
6416,0.0099,0.0277,0.0178
6418,0.038,0.0552,0.0172
6420,0.015,0.0407,0.0257
6422,0.0475,0.0669,0.0194
6424,0.0352,0.0556,0.0203
6426,0.0437,0.0843,0.0405
6428,0.0658,0.0869,0.0211
6430,0.0501,0.0828,0.0327
6432,0.0913,0.0916,0.0003
6434,0.0877,0.1193,0.0316
6436,0.0897,0.1604,0.0707
6438,0.1207,0.1469,0.0262
6440,0.1009,0.1875,0.0866
6442,0.1146,0.217,0.1024
6444,0.1571,0.2059,0.0488
6446,0.1255,0.2494,0.124
6448,0.1769,0.2461,0.0692
6450,0.1717,0.256,0.0842
6452,0.1649,0.2872,0.1223
6454,0.1968,0.2821,0.0854
6456,0.1975,0.3016,0.1041
6458,0.1772,0.3037,0.1265
6460,0.1812,0.293,0.1118
6462,0.1825,0.2878,0.1053
6464,0.1792,0.2875,0.1084
6466,0.162,0.2761,0.1142
6468,0.1641,0.2378,0.0738
6470,0.173,0.2411,0.068
6472,0.1312,0.2116,0.0804
6474,0.1467,0.1993,0.0526
6476,0.1282,0.1872,0.059
6478,0.1079,0.1742,0.0662
6480,0.0941,0.1516,0.0574
6482,0.0919,0.1177,0.0258
6484,0.0693,0.1177,0.0485
6486,0.046,0.0887,0.0426
6488,0.0699,0.0865,0.0166
6490,0.0508,0.0626,0.0117
6492,0.0591,0.0575,-0.0016
6494,0.0282,0.0517,0.0236
6496,0.0209,0.0584,0.0375
6498,0.0366,0.0393,0.0026
6500,0.0191,0.0219,0.0028
6502,0.0255,0.0157,-0.0098
6504,0.0308,0.0211,-0.0097
6506,0.0339,0.0031,-0.0308
6508,-0.011,0.028,0.0391
6510,0.0047,0.0113,0.0066
6512,0.0025,0.0259,0.0234
6514,0.0353,-0.0042,-0.0395
6516,0.0146,0.0088,-0.0058
6518,-0.0019,0.0046,0.0064
6520,-0.0017,0.0025,0.0042
6522,0.0195,0.0162,-0.0034
6524,0.024,0.034,0.0101
6526,0.0383,0.0264,-0.0119
6528,0.0867,0.1391,0.0524
6530,0.1669,0.2235,0.0566
6532,0.2915,0.4651,0.1736
6534,0.4704,0.7515,0.2811
6536,0.6814,1.0757,0.3944
6538,0.8822,1.4474,0.5652
6540,1.0659,1.7131,0.6472
6542,1.1662,1.8656,0.6994
6544,1.1761,1.8397,0.6636
6546,1.0674,1.7104,0.643
6548,0.8799,1.3961,0.5162
6550,0.6456,1.0483,0.4027
6552,0.4301,0.645,0.2149
6554,0.2255,0.3699,0.1444
6556,0.087,0.1233,0.0363
6558,-0.0122,-0.0288,-0.0166
6560,-0.0665,-0.1078,-0.0413
6562,-0.0834,-0.1254,-0.042
6564,-0.0749,-0.1096,-0.0347
6566,-0.0344,-0.0697,-0.0353
6568,-0.0453,-0.0498,-0.0044
6570,0.0189,-0.0243,-0.0432
6572,0.023,-0.0003,-0.0233
6574,0.0262,0.0048,-0.0214
6576,0.0142,0.0699,0.0557
6578,0.0497,0.0436,-0.0061
6580,0.0303,0.0433,0.013
6582,0.0333,0.0856,0.0522
6584,0.058,0.0745,0.0165
6586,0.0568,0.0734,0.0166
6588,0.053,0.0909,0.0379
6590,0.0632,0.0636,0.0003
6592,0.0353,0.0879,0.0526
6594,0.0423,0.0956,0.0534
6596,0.0643,0.092,0.0278
6598,0.0652,0.0866,0.0214
6600,0.0896,0.1124,0.0228
6602,0.0604,0.0949,0.0346
6604,0.0836,0.1277,0.0441
6606,0.0871,0.1303,0.0432
6608,0.1062,0.152,0.0458
6610,0.1109,0.1505,0.0396
6612,0.1054,0.1474,0.042
6614,0.0868,0.1537,0.0669
6616,0.0945,0.1672,0.0727
6618,0.1318,0.1521,0.0203
6620,0.1205,0.1867,0.0662
6622,0.1358,0.1942,0.0584
6624,0.1244,0.1921,0.0677
6626,0.1526,0.212,0.0593
6628,0.1547,0.2357,0.081
6630,0.1496,0.2594,0.1098
6632,0.1578,0.2349,0.0771
6634,0.1442,0.2381,0.0939
6636,0.1583,0.2498,0.0916
6638,0.1836,0.285,0.1014
6640,0.1788,0.3123,0.1335
6642,0.1867,0.3038,0.1171
6644,0.2201,0.3196,0.0994
6646,0.2126,0.3312,0.1187
6648,0.2329,0.3643,0.1314
6650,0.2158,0.3443,0.1285
6652,0.2249,0.3583,0.1333
6654,0.2453,0.4059,0.1605
6656,0.2481,0.3834,0.1352
6658,0.2627,0.4266,0.1639
6660,0.2782,0.4199,0.1417
6662,0.2805,0.4266,0.1462
6664,0.2737,0.4157,0.142
6666,0.2827,0.4487,0.166
6668,0.2804,0.4441,0.1637
6670,0.2757,0.4517,0.176
6672,0.3,0.4462,0.1462
6674,0.2956,0.4796,0.184
6676,0.3029,0.4567,0.1539
6678,0.3091,0.4691,0.16
6680,0.2903,0.4771,0.1868
6682,0.3066,0.4529,0.1463
6684,0.2963,0.4647,0.1684
6686,0.291,0.4683,0.1773
6688,0.2684,0.4339,0.1655
6690,0.2835,0.4424,0.1589
6692,0.2882,0.4317,0.1435
6694,0.273,0.4279,0.1549
6696,0.2651,0.4024,0.1373
6698,0.2551,0.4062,0.1511
6700,0.2745,0.3992,0.1247
6702,0.2305,0.3738,0.1433
6704,0.2218,0.3642,0.1424
6706,0.2336,0.3451,0.1115
6708,0.2078,0.3373,0.1294
6710,0.2081,0.3002,0.092
6712,0.1998,0.3011,0.1014
6714,0.2073,0.2777,0.0704
6716,0.156,0.2734,0.1174
6718,0.1527,0.2564,0.1038
6720,0.1461,0.2557,0.1096
6722,0.1337,0.2185,0.0847
6724,0.1468,0.2058,0.0591
6726,0.1476,0.2022,0.0546
6728,0.1128,0.1853,0.0725
6730,0.115,0.1382,0.0232
6732,0.099,0.164,0.0651
6734,0.0909,0.1471,0.0562
6736,0.0891,0.1412,0.0521
6738,0.0644,0.0944,0.03
6740,0.0886,0.1161,0.0275
6742,0.0427,0.1023,0.0596
6744,0.0932,0.0839,-0.0093
6746,0.0339,0.0863,0.0524
6748,0.0372,0.0982,0.061
6750,0.0465,0.0657,0.0192
6752,0.0693,0.0429,-0.0265
6754,0.067,0.0813,0.0143
6756,0.0279,0.0426,0.0147
6758,0.0469,0.0491,0.0021
6760,0.0367,0.0511,0.0144
6762,0.0316,0.0245,-0.0071
6764,0.0447,0.015,-0.0297
6766,0.0203,0.0321,0.0118
6768,0.0215,0.0225,0.001
6770,0.0183,0.0385,0.0202
6772,0.0305,0.0056,-0.0249
6774,0.0348,0.0223,-0.0126
6776,0.0397,0.0431,0.0034
6778,0.0162,0.0125,-0.0037
6780,0.0241,0.0333,0.0092
6782,0.0159,0.0239,0.0081
6784,0.0428,0.0376,-0.0051
6786,0.0329,0.0168,-0.0162
6788,0.0282,0.0291,0.0009
6790,0.0037,0.0268,0.0231
6792,0.0518,0.0116,-0.0402
6794,0.0094,0.0192,0.0098
6796,0.0277,0.0276,-0.0001
6798,0.0255,0.0426,0.0171
6800,0.0295,0.0307,0.0012
6802,0.039,0.0196,-0.0194
6804,0.0166,0.0295,0.0129
6806,0.0149,0.0145,-0.0005
6808,0.013,0.0099,-0.0032
6810,0.0077,0.0118,0.0041
6812,0.0063,0.0002,-0.0061
6814,0.0379,-0.002,-0.0399
6816,0.0269,0.0372,0.0102
6818,0.0339,0.0125,-0.0214
6820,0.0158,-0.0048,-0.0206
6822,0.0262,0.0441,0.0178
6824,0.0219,0.0011,-0.0208
6826,0.0419,0.0336,-0.0083
6828,0.0313,0.0259,-0.0055
6830,0.0215,0.0255,0.004
6832,0.0284,0.0175,-0.0109
6834,0.0218,0.0403,0.0186
6836,0.0221,0.0213,-0.0009
6838,0.0325,0.0312,-0.0013
6840,0.0388,-0.0025,-0.0413
6842,0.002,0.0066,0.0046
6844,0.0254,0.0337,0.0082
6846,0.0467,0.033,-0.0137
6848,0.0277,0.007,-0.0207
6850,0.0255,0.0098,-0.0157
6852,0.0177,0.0188,0.0011
6854,0.0035,0.0214,0.0179
6856,0.013,0.0015,-0.0115
6858,-0.0066,0.0018,0.0083
6860,0.0208,0.031,0.0102
6862,0.011,0.0226,0.0116
6864,0.0252,0.0277,0.0025
6866,0.0272,0.0193,-0.0079
6868,0.0236,0.0267,0.0031
6870,0.0325,0.0327,0.0002
6872,0.0221,0.054,0.0318
6874,0.0259,0.0146,-0.0113
6876,0.0066,0.0112,0.0046
6878,0.0202,0.023,0.0028
6880,0.0112,0.0088,-0.0024
6882,0.0329,0.0326,-0.0003
6884,0.0177,0.008,-0.0097
6886,0.0623,0.0235,-0.0387
6888,0.04,-0.0047,-0.0447
6890,0.0242,0.0284,0.0043
6892,0.0488,0.0103,-0.0385
6894,-0.0059,0.0123,0.0182
6896,0.0163,0.005,-0.0113
6898,0.0319,0.0178,-0.0141
6900,0.0152,0.0274,0.0122
6902,0.0446,0.0066,-0.038
6904,0.0309,0.0041,-0.0267
6906,0.0088,0.0205,0.0117
6908,0.034,0.0301,-0.0039
6910,0.0215,0.0169,-0.0046
6912,0.0212,0.0271,0.0059
6914,0.0414,0.0248,-0.0166
6916,-0.0005,0.0035,0.0039
6918,0.0206,0.0155,-0.0051
6920,0.0254,0.0487,0.0233
6922,0.0297,0.0132,-0.0165
6924,0.0006,0.0233,0.0227
6926,0.027,0.0297,0.0027
6928,0.0113,0.0317,0.0204
6930,0.0084,0.0156,0.0072
6932,0.0076,0.0226,0.015
6934,0.0361,0.0092,-0.0269
6936,0.059,0.0292,-0.0298
6938,0.0295,0.0348,0.0053
6940,0.0049,0.034,0.0291
6942,0.0121,0.0499,0.0379
6944,0.0148,0.0213,0.0065
6946,0.0251,0.0322,0.0071
6948,0.0122,-0.0009,-0.0131
6950,0.0243,0.032,0.0077
6952,0.0394,0.0113,-0.0281
6954,0.0161,0.0184,0.0024
6956,0.041,0.0259,-0.0151
6958,0.0323,0.043,0.0107
6960,0.0377,0.0166,-0.0211
6962,0.0188,0.0146,-0.0042
6964,0.0192,0.0067,-0.0125
6966,0.0305,0.0194,-0.0111
6968,0.0308,0.0215,-0.0093
6970,0.0336,0.0247,-0.0089
6972,0.0225,0.0255,0.0029
6974,0.0132,0.0181,0.0049
6976,0.0398,0.0232,-0.0167
6978,0.0197,0.0595,0.0398
6980,0.0391,0.0203,-0.0187
6982,0.0256,0.0277,0.002
6984,0.0312,0.0313,0.0001
6986,0.0288,0.0707,0.0419
6988,0.0306,0.0569,0.0263
6990,0.0296,0.0388,0.0092
6992,0.0139,0.0244,0.0104
6994,0.0047,0.0262,0.0215
6996,0.0351,0.0162,-0.0189
6998,0.0236,0.0331,0.0094
7000,0.0287,0.0223,-0.0064
7002,0.0361,0.0218,-0.0142
7004,0.0148,0.0432,0.0284
7006,0.0282,0.0159,-0.0123
7008,0.0252,0.0102,-0.0149
7010,0.0179,0.0499,0.032
7012,0.0438,0.0194,-0.0243
7014,0.005,0.0298,0.0248
7016,0.0449,0.0346,-0.0103
7018,0.0195,0.0175,-0.002
7020,0.0243,0.0162,-0.0081
7022,0.0366,0.0318,-0.0048
7024,0.0264,0.0288,0.0024
7026,0.0178,0.0337,0.0159
7028,0.0176,0.0071,-0.0105
7030,0.0296,0.0233,-0.0063
7032,0.017,0.0472,0.0302
7034,0.0597,0.0283,-0.0315
7036,0.0285,0.0263,-0.0022
7038,0.0126,0.0306,0.018
7040,0.0292,0.0324,0.0032
7042,0.0359,0.0155,-0.0203
7044,0.021,0.0349,0.0138
7046,0.032,0.018,-0.014
7048,0.0236,0.0239,0.0003
7050,0.0251,0.0485,0.0235
7052,0.033,0.0156,-0.0173
7054,0.0272,0.0303,0.0031
7056,0.0268,0.0331,0.0063
7058,0.0416,0.0248,-0.0168
7060,0.0366,0.0025,-0.0342
7062,0.0439,0.0224,-0.0215
7064,0.0445,0.0172,-0.0273
7066,0.0538,0.0309,-0.0229
7068,0.0267,0.0183,-0.0084
7070,0.031,0.0542,0.0232
7072,0.0428,0.03,-0.0128
7074,0.0253,0.0318,0.0065
7076,0.0209,0.0169,-0.004
7078,0.0238,0.0184,-0.0053
7080,0.032,0.0295,-0.0025
7082,0.0358,0.0125,-0.0233
7084,0.0309,0.0272,-0.0037
7086,0.0466,0.0168,-0.0298
7088,0.0228,0.0188,-0.0041
7090,0.0289,0.0372,0.0083
7092,0.0389,0.0237,-0.0152
7094,0.0325,0.0255,-0.007
7096,0.0431,0.0036,-0.0396
7098,0.0122,0.009,-0.0032
7100,0.0321,0.0318,-0.0004
7102,0.0102,0.0409,0.0307
7104,0.0256,0.0385,0.0129
7106,0.025,0.0141,-0.0109
7108,0.0312,0.0263,-0.005
7110,0.0351,0.0364,0.0013
7112,0.0272,0.0332,0.006
7114,0.023,0.0056,-0.0174
7116,0.0405,0.0002,-0.0403
7118,0.0282,0.0215,-0.0066
7120,0.0292,0.0124,-0.0168
7122,0.0365,0.0338,-0.0027
7124,0.0225,0.0184,-0.0041
7126,0.0409,0.023,-0.0179
7128,0.0391,0.0354,-0.0037
7130,0.0235,0.012,-0.0115
7132,0.0323,0.011,-0.0213
7134,0.0292,0.0252,-0.004
7136,0.0402,0.0301,-0.0101
7138,0.0566,0.0177,-0.0389
7140,0.0363,0.0311,-0.0052
7142,0.0279,0.018,-0.0099
7144,0.0251,0.0472,0.0221
7146,0.0386,0.0154,-0.0231
7148,0.0425,0.0224,-0.0201
7150,0.0343,0.0441,0.0099
7152,0.0367,0.0427,0.006
7154,0.0478,0.0179,-0.0299
7156,0.0027,0.0187,0.016
7158,0.0296,0.018,-0.0115
7160,0.0162,0.0344,0.0182
7162,0.0403,0.0237,-0.0166
7164,0.0361,0.0336,-0.0025
7166,0.0198,0.022,0.0022
7168,0.0268,0.0201,-0.0066
7170,0.0228,-0.0029,-0.0257
7172,0.0218,0.0358,0.014
7174,0.0367,0.022,-0.0147
7176,0.023,0.0382,0.0152
7178,0.0321,0.0295,-0.0026
7180,0.0374,0.02,-0.0174
7182,0.0323,0.0291,-0.0032
7184,0.0101,0.0424,0.0324
7186,0.0629,0.0125,-0.0504
7188,0.0262,0.0363,0.01
7190,0.0357,0.0394,0.0037
7192,0.0266,0.031,0.0045
7194,0.0325,0.056,0.0235
7196,0.0257,0.0253,-0.0004
7198,0.0632,0.0339,-0.0293
7200,0.0656,0.0463,-0.0193
7202,0.0491,0.0467,-0.0025
7204,0.0492,0.065,0.0158
7206,0.0453,0.0665,0.0212
7208,0.0563,0.074,0.0177
7210,0.061,0.0752,0.0142
7212,0.0855,0.0887,0.0032
7214,0.0665,0.0772,0.0106
7216,0.1079,0.1132,0.0053
7218,0.0933,0.1525,0.0593
7220,0.1155,0.1503,0.0348
7222,0.1364,0.1709,0.0345
7224,0.1274,0.1781,0.0506
7226,0.1301,0.2289,0.0988
7228,0.161,0.2263,0.0653
7230,0.1723,0.2598,0.0874
7232,0.1897,0.2696,0.0799
7234,0.1834,0.2913,0.108
7236,0.2067,0.2908,0.0841
7238,0.2172,0.2778,0.0606
7240,0.2108,0.2959,0.0851
7242,0.219,0.3182,0.0993
7244,0.2151,0.318,0.1029
7246,0.1957,0.324,0.1283
7248,0.236,0.3214,0.0855
7250,0.202,0.301,0.099
7252,0.1927,0.3105,0.1178
7254,0.192,0.271,0.0791
7256,0.1783,0.2579,0.0796
7258,0.1719,0.2411,0.0692
7260,0.1572,0.2081,0.0509
7262,0.1406,0.1933,0.0528
7264,0.1173,0.1865,0.0692
7266,0.1354,0.155,0.0197
7268,0.0966,0.1532,0.0566
7270,0.1024,0.1538,0.0513
7272,0.1111,0.1447,0.0336
7274,0.0822,0.103,0.0208
7276,0.0873,0.096,0.0087
7278,0.0731,0.0718,-0.0013
7280,0.0704,0.0906,0.0201
7282,0.0717,0.0553,-0.0164
7284,0.0493,0.0623,0.013
7286,0.0517,0.0708,0.0191
7288,0.0287,0.0438,0.0151
7290,0.0488,0.0283,-0.0205
7292,0.0497,0.0523,0.0027
7294,0.0447,0.0444,-0.0003
7296,0.0381,0.056,0.0179
7298,0.0265,0.0437,0.0172
7300,0.0408,0.0365,-0.0043
7302,0.0445,0.0511,0.0066
7304,0.0407,0.0467,0.006
7306,0.04,0.0345,-0.0055
7308,0.0349,0.0154,-0.0194
7310,0.0453,0.0241,-0.0212
7312,0.0569,0.0872,0.0302
7314,0.0939,0.1551,0.0612
7316,0.1753,0.2739,0.0986
7318,0.3099,0.4909,0.181
7320,0.5062,0.7474,0.2412
7322,0.7038,1.118,0.4143
7324,0.9272,1.4647,0.5375
7326,1.0786,1.7523,0.6737
7328,1.2003,1.8722,0.6719
7330,1.1812,1.8912,0.71
7332,1.0988,1.712,0.6132
7334,0.8942,1.4249,0.5306
7336,0.6727,1.0628,0.3901
7338,0.4447,0.6863,0.2416
7340,0.2641,0.3694,0.1053
7342,0.1138,0.115,0.0012
7344,0.0049,0.0184,0.0135
7346,-0.0382,-0.0861,-0.0478
7348,-0.0463,-0.1113,-0.065
7350,-0.0271,-0.0919,-0.0648
7352,-0.0171,-0.0669,-0.0499
7354,0.0219,-0.0456,-0.0676
7356,0.0287,0.0111,-0.0176
7358,0.0547,0.0237,-0.031
7360,0.0271,0.0475,0.0204
7362,0.0545,0.0661,0.0116
7364,0.0521,0.0785,0.0264
7366,0.0578,0.07,0.0122
7368,0.0787,0.059,-0.0197
7370,0.0592,0.0627,0.0035
7372,0.0657,0.0866,0.0209
7374,0.0456,0.1119,0.0663
7376,0.0937,0.085,-0.0087
7378,0.089,0.1258,0.0367
7380,0.0833,0.0819,-0.0014
7382,0.1303,0.1248,-0.0056
7384,0.069,0.114,0.045
7386,0.0939,0.1451,0.0512
7388,0.0968,0.1427,0.046
7390,0.126,0.1547,0.0287
7392,0.1228,0.1645,0.0417
7394,0.0998,0.1516,0.0517
7396,0.1142,0.1636,0.0495
7398,0.1115,0.1528,0.0413
7400,0.1255,0.1811,0.0556
7402,0.1323,0.2048,0.0725
7404,0.1342,0.1923,0.0581
7406,0.1393,0.2259,0.0866
7408,0.178,0.1878,0.0098
7410,0.1538,0.2063,0.0525
7412,0.1636,0.2547,0.0911
7414,0.1818,0.2553,0.0735
7416,0.196,0.248,0.052
7418,0.1963,0.2746,0.0783
7420,0.2001,0.2964,0.0963
7422,0.2029,0.2745,0.0715
7424,0.2301,0.3145,0.0844
7426,0.2191,0.2913,0.0721
7428,0.2436,0.29,0.0464
7430,0.2384,0.3511,0.1127
7432,0.2546,0.359,0.1043
7434,0.2348,0.3734,0.1386
7436,0.2486,0.3968,0.1481
7438,0.2553,0.3737,0.1183
7440,0.2482,0.4145,0.1663
7442,0.266,0.4112,0.1452
7444,0.3011,0.4174,0.1162
7446,0.2885,0.4315,0.1429
7448,0.2853,0.4463,0.161
7450,0.2788,0.4655,0.1867
7452,0.3139,0.484,0.1701
7454,0.307,0.4712,0.1642
7456,0.3089,0.4891,0.1802
7458,0.3042,0.4639,0.1597
7460,0.3223,0.478,0.1557
7462,0.3332,0.4765,0.1433
7464,0.3279,0.4887,0.1608
7466,0.3335,0.4665,0.133
7468,0.3243,0.4985,0.1742
7470,0.3413,0.4843,0.143
7472,0.2937,0.4765,0.1828
7474,0.3206,0.4839,0.1633
7476,0.2799,0.453,0.1731
7478,0.3094,0.4477,0.1384
7480,0.3183,0.4464,0.128
7482,0.2612,0.4369,0.1757
7484,0.2793,0.4136,0.1343
7486,0.2627,0.3918,0.1291
7488,0.2574,0.3975,0.14
7490,0.2541,0.3687,0.1146
7492,0.2495,0.3729,0.1234
7494,0.2276,0.3669,0.1393
7496,0.2286,0.327,0.0984
7498,0.1994,0.3196,0.1202
7500,0.1952,0.3078,0.1126
7502,0.2031,0.2654,0.0623
7504,0.1647,0.2753,0.1106
7506,0.1674,0.275,0.1076
7508,0.176,0.2304,0.0544
7510,0.1562,0.241,0.0849
7512,0.1597,0.2084,0.0487
7514,0.1566,0.2002,0.0436
7516,0.1412,0.203,0.0618
7518,0.1281,0.1727,0.0446
7520,0.1133,0.1306,0.0173
7522,0.1035,0.1474,0.0439
7524,0.1063,0.1377,0.0313
7526,0.1182,0.1517,0.0335
7528,0.0965,0.1188,0.0223
7530,0.1011,0.1136,0.0125
7532,0.0745,0.0893,0.0148
7534,0.0829,0.1087,0.0258
7536,0.0926,0.0886,-0.004
7538,0.0729,0.0971,0.0242
7540,0.0775,0.0772,-0.0003
7542,0.0746,0.0659,-0.0087
7544,0.0701,0.0578,-0.0122
7546,0.0673,0.0483,-0.019
7548,0.0631,0.0689,0.0058
7550,0.0562,0.0527,-0.0034
7552,0.0526,0.0562,0.0037
7554,0.0439,0.0556,0.0117
7556,0.0578,0.0313,-0.0265
7558,0.0706,0.0295,-0.041
7560,0.0383,0.0354,-0.0029
7562,0.0523,0.0551,0.0028
7564,0.0413,0.0552,0.0139
7566,0.036,0.0475,0.0115
7568,0.053,0.0611,0.0081
7570,0.0352,0.0439,0.0087
7572,0.0479,0.045,-0.0028
7574,0.0524,0.0583,0.0059
7576,0.0607,0.0304,-0.0303
7578,0.0246,0.0398,0.0152
7580,0.0397,0.0525,0.0129
7582,0.0611,0.0443,-0.0169
7584,0.0314,0.028,-0.0034
7586,0.0361,0.0448,0.0086
7588,0.0629,0.0536,-0.0094
7590,0.0455,0.0342,-0.0113
7592,0.0617,0.0328,-0.0289
7594,0.0371,0.0394,0.0023
7596,0.034,0.0141,-0.02
7598,0.0593,0.0415,-0.0178
7600,0.0551,0.0491,-0.0059
7602,0.0543,0.0166,-0.0377
7604,0.039,0.0413,0.0023
7606,0.0416,0.0285,-0.0131
7608,0.0323,0.0288,-0.0035
7610,0.0434,0.0195,-0.0239
7612,0.026,0.0444,0.0184
7614,0.041,0.0486,0.0076
7616,0.0489,0.0283,-0.0205
7618,0.0408,0.0489,0.0081
7620,0.0387,0.0411,0.0024
7622,0.0456,0.045,-0.0006
7624,0.0209,0.0391,0.0182
7626,0.062,0.0456,-0.0164
